date,close,stck_oprc,high,low,volume,tr_amount,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2025-02-03,51000,51100,51400,50800,32344897,1649571739100,00,0.00,N,5,-1400,
2025-02-04,52700,51600,53600,51500,27214851,1437276277799,00,0.00,N,2,1700,
2025-02-05,52900,53600,53800,52800,15974885,849379788350,00,0.00,N,2,200,
2025-02-06,54000,53400,54000,53200,16466025,881509435950,00,0.00,N,2,1100,
2025-02-07,53700,53900,54200,53600,14476866,779741308604,00,0.00,N,5,-300,
2025-02-10,55600,53000,55900,52900,27577591,1505750553500,00,0.00,N,2,1900,
2025-02-11,55700,55500,56300,55000,24596196,1370657724557,00,0.00,N,2,100,
2025-02-12,55800,55100,55900,54500,26428596,1460112004958,00,0.00,N,2,100,
2025-02-13,55800,56100,56400,55600,22448377,1256946474000,00,0.00,N,3,0,
2025-02-14,56000,56000,57300,56000,23979779,1354475009700,00,0.00,N,2,200,
2025-02-17,56000,56100,56500,55700,11916027,667145670500,00,0.00,N,3,0,
2025-02-18,56900,56200,57200,55900,22131007,1254587816860,00,0.00,N,2,900,
2025-02-19,58700,57400,58900,57300,25395151,1481741681100,00,0.00,N,2,1800,
2025-02-20,58400,59100,59100,58100,21589059,1264910439050,00,0.00,N,5,-300,
2025-02-21,58200,58400,58500,57100,22198428,1281507475862,00,0.00,N,5,-200,
2025-02-24,57300,57300,57700,57200,14138471,811217100550,00,0.00,N,5,-900,
2025-02-25,57200,56600,57800,56500,14625181,837240466372,00,0.00,N,5,-100,
2025-02-26,56600,57000,57100,56100,18117091,1024931423600,00,0.00,N,5,-600,
2025-02-27,56300,56500,57100,56200,14975356,846530583128,00,0.00,N,5,-300,
2025-02-28,54500,55400,55700,54500,28036698,1540205401313,00,0.00,N,5,-1800,
2025-03-04,54500,53900,55000,53800,18553933,1010214633015,00,0.00,N,3,0,
2025-03-05,54000,55100,55400,54000,16578817,902621801920,00,0.00,N,5,-500,
2025-03-06,54300,54100,54500,54000,12258101,664504901310,00,0.00,N,2,300,
2025-03-07,53700,53500,54200,53400,14274992,768393784787,00,0.00,N,5,-600,
2025-03-10,53700,53500,54800,53500,12921670,699340880450,00,0.00,N,3,0,
2025-03-11,53600,52500,54100,52500,17740891,944012331050,00,0.00,N,5,-100,
2025-03-12,54900,53800,55300,53600,17973221,983462164612,00,0.00,N,2,1300,
2025-03-13,54700,55800,55900,54200,24132151,1327792389578,00,0.00,N,5,-200,
2025-03-14,54700,54500,55100,54400,10845154,594158589200,00,0.00,N,3,0,
2025-03-17,57600,55500,57800,55400,35559021,2036156585500,00,0.00,N,2,2900,
2025-03-18,57600,58800,59000,57300,28138594,1638462319270,00,0.00,N,3,0,
2025-03-19,58500,57400,59200,57400,29421759,1727220604750,00,0.00,N,2,900,
2025-03-20,60200,59200,60300,58500,34989004,2088152199012,00,0.00,N,2,1700,
2025-03-21,61700,60900,61700,60400,40155612,2460691162900,00,0.00,N,2,1500,
2025-03-24,60500,61200,61600,60500,14088094,860212862100,00,0.00,N,5,-1200,
2025-03-25,59800,60900,61100,59500,17259455,1039802205362,00,0.00,N,5,-700,
2025-03-26,61400,59800,61400,59700,16431645,1001626513602,00,0.00,N,2,1600,
2025-03-27,61800,60900,62000,60800,20389790,1256945832435,00,0.00,N,2,400,
2025-03-28,60200,60700,61100,60000,16282514,983699710050,00,0.00,N,5,-1600,
2025-03-31,57800,59500,59700,57800,17633494,1029323854400,00,0.00,N,5,-2400,
2025-04-01,58800,58700,59600,57900,13841706,813516599850,00,0.00,N,2,1000,
2025-04-02,58800,58800,59400,58300,14402297,847775481500,00,0.00,N,3,0,
2025-04-03,57600,56900,57800,56900,19508076,1118162896800,00,0.00,N,5,-1200,
2025-04-04,56100,56200,58200,55700,23527139,1330710237050,00,0.00,N,5,-1500,
2025-04-07,53200,53300,54100,53100,31998883,1713617858300,00,0.00,N,5,-2900,
2025-04-08,53500,55000,55300,53300,25532845,1382305707900,00,0.00,N,2,300,
2025-04-09,53000,53300,54300,52900,20576960,1101141051250,00,0.00,N,5,-500,
2025-04-10,56400,56600,56700,55000,22948172,1287044405375,00,0.00,N,2,3400,
2025-04-11,55200,55600,55700,54800,13930480,768599025700,00,0.00,N,5,-1200,
2025-04-14,56200,56300,56700,55800,12852613,722365102751,00,0.00,N,2,1000,
2025-04-15,56600,56300,57100,56200,8998640,510390643850,00,0.00,N,2,400,
2025-04-16,54700,56000,56200,54500,14437025,795695286400,00,0.00,N,5,-1900,
2025-04-17,55100,54700,55300,54500,10867069,597524532250,00,0.00,N,2,400,
2025-04-18,55300,55300,55600,54900,5848342,323289923300,00,0.00,N,2,200,
2025-04-21,55400,55200,56000,55100,5941847,329494931450,00,0.00,N,2,100,
2025-04-22,55000,54900,55500,54700,9532469,524575582650,00,0.00,N,5,-400,
2025-04-23,55700,56000,56100,55500,11148692,622062616030,00,0.00,N,2,700,
2025-04-24,55700,55600,55800,55200,10580377,587440411598,00,0.00,N,3,0,
2025-04-25,55700,56400,56400,55600,12183303,681776346900,00,0.00,N,3,0,
2025-04-28,55800,55800,55900,55500,9341518,520363061706,00,0.00,N,2,100,
2025-04-29,55800,55700,56500,55600,10295518,576762268048,00,0.00,N,3,0,
2025-04-30,55500,55900,56000,55300,13014189,723346232700,00,0.00,N,5,-300,
2025-05-02,54300,55000,55500,54200,22454204,1227727373850,00,0.00,N,5,-1200,
2025-05-07,54600,54500,55000,54300,17136991,934599688925,00,0.00,N,2,300,
2025-05-08,54600,55100,55500,54500,16320532,894447365150,00,0.00,N,3,0,
2025-05-09,54800,54700,55000,54400,7814322,427710077350,00,0.00,N,2,200,
2025-05-12,57600,55200,57600,55000,15414702,865629368100,00,0.00,N,2,2800,
2025-05-13,56900,57700,58200,56800,16842801,964867366600,00,0.00,N,5,-700,
2025-05-14,57400,57500,57900,57000,12468089,716126374400,00,0.00,N,2,500,
2025-05-15,57300,57400,58600,57100,13139736,758309165800,00,0.00,N,5,-100,
2025-05-16,56800,57400,57500,56700,10385352,591058106600,00,0.00,N,5,-500,
2025-05-19,55800,56400,56400,55500,9802105,547396316550,00,0.00,N,5,-1000,
2025-05-20,55900,56200,56700,55700,9080577,509071853300,00,0.00,N,2,100,
2025-05-21,55700,56200,56600,55700,7794181,436952856950,00,0.00,N,5,-200,
2025-05-22,54700,55300,55500,54500,15254278,836539466150,00,0.00,N,5,-1000,
2025-05-23,54200,55000,55200,54100,11247115,613226703800,00,0.00,N,5,-500,
2025-05-26,54700,53900,55000,53700,10901337,592151080050,00,0.00,N,2,500,
2025-05-27,53900,54200,54500,53800,13439520,726274713400,00,0.00,N,5,-800,
2025-05-28,55900,54300,56100,54200,17516283,973210169800,00,0.00,N,2,2000,
2025-05-29,56100,56200,56400,55600,12936810,725423589100,00,0.00,N,2,200,
2025-05-30,56200,56200,57200,55800,26219683,1480158775742,00,0.00,N,2,100,
2025-06-02,56800,56300,57300,56200,12870515,730318709208,00,0.00,N,2,600,
2025-06-04,57800,57200,57900,56800,19649983,1130355068006,00,0.00,N,2,1000,
2025-06-05,59100,58100,59900,57900,23266027,1374247336436,00,0.00,N,2,1300,
2025-06-09,59800,60400,60400,59500,19609659,1177551114571,00,0.00,N,2,700,
2025-06-10,59200,60000,60100,58800,15305760,906586997415,00,0.00,N,5,-600,
2025-06-11,59900,59500,60100,59400,13610734,813621164500,00,0.00,N,2,700,
2025-06-12,59500,59700,60000,59300,17755115,1057637167800,00,0.00,N,5,-400,
2025-06-13,58300,60200,60200,57700,20705979,1210886326580,00,0.00,N,5,-1200,
2025-06-16,57200,58000,58100,56900,22200872,1270631109015,00,0.00,N,5,-1100,
2025-06-17,58100,57800,59800,57400,28637003,1679975838250,00,0.00,N,2,900,
2025-06-18,59800,58000,59800,57900,17620705,1042740697200,00,0.00,N,2,1700,
2025-06-19,59200,60500,60600,59000,16876278,1003457299850,00,0.00,N,5,-600,
2025-06-20,59500,59400,59800,59100,18072251,1074365743369,00,0.00,N,2,300,
2025-06-23,58000,58400,58500,57600,16551694,960057464892,00,0.00,N,5,-1500,
2025-06-24,60500,59400,60600,59300,23737899,1427748806035,00,0.00,N,2,2500,
2025-06-25,61300,61500,61600,60300,23933612,1457360417042,00,0.00,N,2,800,
2025-06-26,60200,61300,61300,59900,19402300,1171824855134,00,0.00,N,5,-1100,
2025-06-27,60800,60100,61600,60000,17340470,1053939281525,00,0.00,N,2,600,
2025-06-30,59800,61200,61200,59800,17110294,1030779273850,00,0.00,N,5,-1000,
2025-07-01,60200,60400,61100,60200,13650991,827468756700,00,0.00,N,2,400,
2025-07-02,60800,60200,60900,59800,15047951,909032914400,00,0.00,N,2,600,
2025-07-03,63800,61300,63800,61100,32040639,2006401108350,00,0.00,N,2,3000,
2025-07-04,63300,64700,64700,63000,23748959,1509810934320,00,0.00,N,5,-500,
2025-07-07,61700,62900,63300,61700,17164708,1069011093850,00,0.00,N,5,-1600,
2025-07-08,61400,61600,62400,61000,20213724,1243103108550,00,0.00,N,5,-300,
2025-07-09,60400,61400,61400,60200,17533415,1062832478300,00,0.00,N,5,-1000,
2025-07-10,61000,60600,61200,60400,14768473,899089116094,00,0.00,N,2,600,
2025-07-11,62600,61300,62800,61200,19140650,1193447629850,00,0.00,N,2,1600,
2025-07-14,62500,62300,62600,61800,13563846,843866596500,00,0.00,N,5,-100,
2025-07-15,63700,62300,63800,62000,18442202,1164848565258,00,0.00,N,2,1200,
2025-07-16,64700,63700,64700,63100,23042660,1479498248637,00,0.00,N,2,1000,
2025-07-17,66700,65900,66800,64400,39448683,2597601930887,00,0.00,N,2,2000,
2025-07-18,67100,67000,67800,66300,23951531,1607581620750,00,0.00,N,2,400,
2025-07-21,67800,67400,68800,67200,17723148,1204016863750,00,0.00,N,2,700,
2025-07-22,66000,68100,68500,65600,20829006,1389855801518,00,0.00,N,5,-1800,
2025-07-23,66400,66200,66500,64900,15687058,1033696388650,00,0.00,N,2,400,
2025-07-24,66000,66500,66800,65900,12660193,839577050200,00,0.00,N,5,-400,
2025-07-25,65900,65700,66300,65500,8080910,532537113250,00,0.00,N,5,-100,
2025-07-28,70400,68200,70400,67200,35332500,2431396606750,00,0.00,N,2,4500,
2025-07-29,70600,70800,70800,68800,28190940,1977721049950,00,0.00,N,2,200,
2025-07-30,72600,71000,73700,70600,34761444,2521446314798,00,0.00,N,2,2000,
2025-07-31,71400,73000,74000,71000,26568072,1907638117550,00,0.00,N,5,-1200,
2025-08-01,68900,70200,72000,68800,24038534,1680885451444,00,0.00,N,5,-2500,
2025-08-04,69700,69500,70200,68700,14780072,1030549721600,00,0.00,N,2,800,
2025-08-05,69900,71000,71500,69700,14392903,1012313553300,00,0.00,N,2,200,
2025-08-06,68800,69200,69400,68300,12542415,863115544500,00,0.00,N,5,-1100,
2025-08-07,70500,70800,71000,69700,15008213,1055402519950,00,0.00,N,2,1700,
2025-08-08,71800,71000,72400,70700,22241128,1593485781518,00,0.00,N,2,1300,
2025-08-11,71000,72000,72100,70800,11354253,808470078650,00,0.00,N,5,-800,
2025-08-12,71100,71100,72400,71100,15797656,1131563720442,00,0.00,N,2,100,
2025-08-13,71900,71900,72100,71400,12305742,882862974150,00,0.00,N,2,800,
2025-08-14,71600,71900,71900,71200,11946122,855002690211,00,0.00,N,5,-300,
2025-08-18,70000,71100,71200,70000,13595591,956707246500,00,0.00,N,5,-1600,
2025-08-19,70000,70400,70700,69700,10533082,738974304800,00,0.00,N,3,0,
2025-08-20,70500,70100,70700,69400,17445516,1224601970500,00,0.00,N,2,500,
2025-08-21,70600,71500,71900,70600,18843833,1346119238787,00,0.00,N,2,100,
2025-08-22,71400,71700,71800,70800,9277432,662245936652,00,0.00,N,2,800,
2025-08-25,71500,71700,71800,71000,10345178,737888335300,00,0.00,N,2,100,
2025-08-26,70300,70800,71100,70300,14712519,1037834198800,00,0.00,N,5,-1200,
2025-08-27,70600,70100,70900,69800,10523405,741245805000,00,0.00,N,2,300,
2025-08-28,69600,70100,70400,69600,11578024,810422565900,00,0.00,N,5,-1000,
2025-08-29,69700,70100,70500,69700,11682267,817253503600,00,0.00,N,2,100,
2025-09-01,67600,68400,68600,67500,12002343,815938773100,00,0.00,N,5,-2100,
2025-09-02,69100,67800,69500,67800,10604028,731582866980,00,0.00,N,2,1500,
2025-09-03,69800,69200,69800,68800,10283009,714517209150,00,0.00,N,2,700,
2025-09-04,70100,69500,70100,69300,12284414,855350153007,00,0.00,N,2,300,
2025-09-05,69500,70300,70400,69500,11526724,804641532850,00,0.00,N,5,-600,
2025-09-08,70100,69800,70500,69600,9263135,648524943367,00,0.00,N,2,600,
2025-09-09,71500,70100,71500,70000,14870245,1055356549000,00,0.00,N,2,1400,
2025-09-10,72600,71800,72800,71600,21928565,1589672409520,00,0.00,N,2,1100,
2025-09-11,73400,73200,73600,72100,20793501,1518036265100,00,0.00,N,2,800,
2025-09-12,75400,74600,75600,74200,28219678,2118000956450,00,0.00,N,2,2000,
2025-09-15,76500,77200,77600,75900,19908805,1529429370850,00,0.00,N,2,1100,
2025-09-16,79400,76900,79500,76700,28218265,2211426330044,00,0.00,N,2,2900,
2025-09-17,78200,79100,79100,77100,20856317,1630232349162,00,0.00,N,5,-1200,
2025-09-18,80500,79100,80500,78600,25619035,2046310025896,00,0.00,N,2,2300,
2025-09-19,79700,81100,81200,79600,20898386,1672547819584,00,0.00,N,5,-800,
2025-09-22,83500,81500,84000,81100,27529656,2288084255150,00,0.00,N,2,3800,
2025-09-23,84700,85800,85900,83600,23610263,2000621182255,00,0.00,N,2,1200,
2025-09-24,85400,84200,85500,83700,18300997,1550295255940,00,0.00,N,2,700,
2025-09-25,86100,84400,86200,84100,19665151,1683395911552,00,0.00,N,2,700,
2025-09-26,83300,85000,85300,82400,24071193,2011031686444,00,0.00,N,5,-2800,
2025-09-29,84200,83300,85000,83200,13069094,1102882949950,00,0.00,N,2,900,
2025-09-30,83900,84600,84900,83400,16319061,1371831147850,00,0.00,N,5,-300,
2025-10-01,86000,84900,86200,84700,22039361,1886160393690,00,0.00,N,2,2100,
2025-10-02,89000,89300,90300,88700,49883028,4472131514922,00,0.00,N,2,3000,
2025-10-10,94400,94000,94500,92700,35269748,3311084659050,00,0.00,N,2,5400,
2025-10-13,93300,91300,93400,90700,23883308,2197370665497,00,0.00,N,5,-1100,
2025-10-14,91600,95300,96000,90200,35545235,3312011003250,00,0.00,N,5,-1700,
2025-10-15,95000,92300,95300,92100,21050111,1978832965007,00,0.00,N,2,3400,
2025-10-16,97700,95300,97700,95000,28141060,2728362196400,00,0.00,N,2,2700,
2025-10-17,97900,97200,99100,96700,22730809,2225132112442,00,0.00,N,2,200,
2025-10-20,98100,97900,98300,96000,17589756,1714999925050,00,0.00,N,2,200,
2025-10-21,97500,98500,99900,97300,22803830,2252645721374,00,0.00,N,5,-600,
2025-10-22,98600,97100,98600,95500,15937611,1547962213088,00,0.00,N,2,1100,
2025-10-23,96500,96800,98500,96300,18488581,1796781660790,00,0.00,N,5,-2100,
2025-10-24,98800,97900,99000,97700,18801925,1852510715919,00,0.00,N,2,2300,
2025-10-27,102000,101300,102000,100600,22169970,2250615426550,00,0.00,N,2,3200,
2025-10-28,99500,100900,101000,99100,20002282,1994943413477,00,0.00,N,5,-2500,
2025-10-29,100500,100200,101000,99100,20899788,2092397701550,00,0.00,N,2,1000,
2025-10-30,104100,102400,105800,102000,34570017,3591285130855,00,0.00,N,2,3600,
2025-10-31,107500,105000,108600,103300,54824564,5744254696496,00,0.00,N,2,3400,
2025-11-03,111100,106900,111500,106500,30110066,3295567406580,00,0.00,N,2,3600,
2025-11-04,104900,111800,112400,104900,30450281,3288827318350,00,0.00,N,5,-6200,
2025-11-05,100600,101000,102000,96700,44843020,4472837142000,00,0.00,N,5,-4300,
2025-11-06,99200,103700,103800,98800,28655689,2879395591412,00,0.00,N,5,-1400,
2025-11-07,97900,96400,100300,96300,22908083,2246165668512,00,0.00,N,5,-1300,
2025-11-10,100600,98600,101000,97900,23842327,2378589265170,00,0.00,N,2,2700,
2025-11-11,103500,103700,106000,102000,27742542,2891284191696,00,0.00,N,2,2900,
2025-11-12,103100,103000,103900,101600,19413497,1998502530464,00,0.00,N,5,-400,
2025-11-13,102800,102500,104200,102300,20838741,2148169322300,00,0.00,N,5,-300,
2025-11-14,97200,99000,99600,97200,21806342,2147749334700,00,0.00,N,5,-5600,
2025-11-17,100600,99800,101000,99500,17192584,1724130858810,00,0.00,N,2,3400,
2025-11-18,97800,99800,100900,97500,18684068,1844179134100,00,0.00,N,5,-2800,
2025-11-19,96500,97100,97500,94600,18993346,1787980830810,00,0.00,N,5,-1300,
2025-11-20,100600,100900,102900,99500,25360435,2568225958163,00,0.00,N,2,4100,
2025-11-21,94800,95600,96800,94500,23103574,2204245251690,00,0.00,N,5,-5800,
2025-11-24,96700,97800,99000,96200,29831172,2908768341130,00,0.00,N,2,1900,
2025-11-25,99300,101400,101400,97800,16110054,1602730841700,00,0.00,N,2,2600,
2025-11-26,102800,100500,102900,99300,21314975,2159034953350,00,0.00,N,2,3500,
2025-11-27,103500,104100,105500,102700,16453004,1713246599050,00,0.00,N,2,700,
2025-11-28,100500,103800,103800,100500,15292277,1548884266354,00,0.00,N,5,-3000,
2025-12-01,100800,102000,102800,99900,10905526,1101995992050,00,0.00,N,2,300,
2025-12-02,103400,101200,103500,101000,13649487,1401469615424,00,0.00,N,2,2600,
2025-12-03,104500,104700,105500,104000,14697927,1541179456000,00,0.00,N,2,1100,
2025-12-04,105100,103900,105100,103200,11931145,1243000736272,00,0.00,N,2,600,
2025-12-05,108400,105300,108400,104600,19755571,2110938031640,00,0.00,N,2,3300,
2025-12-08,109500,109700,110000,108000,15527762,1697092217750,00,0.00,N,2,1100,
2025-12-09,108400,108900,109400,107300,13671800,1482781413052,00,0.00,N,5,-1100,
2025-12-10,108000,108300,109800,107400,12365092,1339076683680,00,0.00,N,5,-400,
2025-12-11,107300,109200,110500,107300,22994507,2490050541672,00,0.00,N,5,-700,
2025-12-12,108900,107100,108900,106800,14210314,1537684811788,00,0.00,N,2,1600,
2025-12-15,104800,105300,105800,104600,20594654,2165419255257,00,0.00,N,5,-4100,
2025-12-16,102800,104900,105600,102700,18852079,1956433462038,00,0.00,N,5,-2000,
2025-12-17,107900,103500,108100,103400,22297611,2355122133240,00,0.00,N,2,5100,
2025-12-18,107600,106400,108200,105700,20445631,2187289590140,00,0.00,N,5,-300,
2025-12-19,106300,109700,109700,106200,25917098,2775502209243,00,0.00,N,5,-1300,
2025-12-22,110500,109700,110500,109300,24859171,2733030756000,00,0.00,N,2,4200,
2025-12-23,111500,110900,112500,110400,20419187,2280880376500,00,0.00,N,2,1000,
2025-12-24,111100,112400,112400,110900,12492939,1392948448100,00,0.00,N,5,-400,
2025-12-26,117000,112400,117000,112400,34018174,3930507591746,00,0.00,N,2,5900,
